동,연도,총인구,세대수,세대당인구
월계1동,2016,23501.0,9924.0,2.37
월계1동,2017,23417.0,10075.0,2.32
월계1동,2018,23250.0,10227.0,2.27
월계1동,2019,22882.0,10225.0,2.24
월계1동,2020,22127.0,10213.0,2.17
월계1동,2021,21359.0,10041.0,2.13
월계1동,2022,20786.0,9932.0,2.09
월계1동,2023,20428.0,9900.0,2.06
월계1동,2024,20194.0,9906.0,2.04
월계1동,2025,19973.0,9949.0,2.01
월계2동,2016,26489.0,10814.0,2.45
월계2동,2017,26873.0,11044.0,2.43
월계2동,2018,26257.0,11008.0,2.39
월계2동,2019,26853.0,11474.0,2.34
월계2동,2020,27193.0,11836.0,2.3
월계2동,2021,26390.0,11803.0,2.24
월계2동,2022,25834.0,11717.0,2.2
월계2동,2023,25397.0,11625.0,2.18
월계2동,2024,25077.0,11585.0,2.16
월계2동,2025,24716.0,11515.0,2.15
월계3동,2016,33466.0,12940.0,2.59
월계3동,2017,32869.0,12875.0,2.55
월계3동,2018,32016.0,12785.0,2.5
월계3동,2019,31066.0,12716.0,2.44
월계3동,2020,30294.0,12791.0,2.37
월계3동,2021,29669.0,12842.0,2.31
월계3동,2022,29076.0,12806.0,2.27
월계3동,2023,28577.0,12775.0,2.24
월계3동,2024,28134.0,12796.0,2.2
월계3동,2025,27733.0,12747.0,2.18
공릉1동,2016,39230.0,17024.0,2.3
공릉1동,2017,38964.0,17386.0,2.24
공릉1동,2018,38460.0,17636.0,2.18
공릉1동,2019,37843.0,17707.0,2.14
공릉1동,2020,37236.0,17941.0,2.08
공릉1동,2021,36297.0,17942.0,2.02
공릉1동,2022,36270.0,18377.0,1.97
공릉1동,2023,35797.0,18386.0,1.95
공릉1동,2024,35351.0,18513.0,1.91
공릉1동,2025,34989.0,18606.0,1.88
공릉2동,2016,43647.0,16417.0,2.66
공릉2동,2017,41088.0,15767.0,2.61
공릉2동,2018,40624.0,15881.0,2.56
공릉2동,2019,40056.0,16009.0,2.5
공릉2동,2020,39396.0,16227.0,2.43
공릉2동,2021,40124.0,16864.0,2.38
공릉2동,2022,41679.0,17666.0,2.36
공릉2동,2023,41318.0,17670.0,2.34
공릉2동,2024,41182.0,17850.0,2.31
공릉2동,2025,40549.0,17768.0,2.28
하계1동,2016,29466.0,11517.0,2.56
하계1동,2017,29107.0,11668.0,2.49
하계1동,2018,29139.0,12124.0,2.4
하계1동,2019,28433.0,12030.0,2.36
하계1동,2020,27235.0,11494.0,2.37
하계1동,2021,26373.0,11360.0,2.32
하계1동,2022,26328.0,11957.0,2.2
하계1동,2023,26019.0,12061.0,2.16
하계1동,2024,25642.0,12187.0,2.1
하계1동,2025,25311.0,12123.0,2.09
하계2동,2016,24538.0,8308.0,2.95
하계2동,2017,24162.0,8259.0,2.93
하계2동,2018,23619.0,8203.0,2.88
하계2동,2019,23075.0,8135.0,2.84
하계2동,2020,22489.0,8182.0,2.75
하계2동,2021,21851.0,8129.0,2.69
하계2동,2022,21492.0,8121.0,2.65
하계2동,2023,21213.0,8144.0,2.6
하계2동,2024,20787.0,8083.0,2.57
하계2동,2025,19523.0,7531.0,2.59
중계본동,2016,27674.0,9194.0,3.01
중계본동,2017,27092.0,9107.0,2.97
중계본동,2018,26519.0,9030.0,2.94
중계본동,2019,25529.0,8675.0,2.94
중계본동,2020,24620.0,8451.0,2.91
중계본동,2021,23806.0,8275.0,2.88
중계본동,2022,23324.0,8168.0,2.86
중계본동,2023,22977.0,8078.0,2.84
중계본동,2024,22527.0,7904.0,2.85
중계본동,2025,22146.0,7800.0,2.84
중계1동,2016,29079.0,9079.0,3.2
중계1동,2017,28561.0,9021.0,3.17
중계1동,2018,28073.0,8961.0,3.13
중계1동,2019,27780.0,8953.0,3.1
중계1동,2020,27256.0,8910.0,3.06
중계1동,2021,26652.0,8870.0,3.0
중계1동,2022,26388.0,8859.0,2.98
중계1동,2023,26238.0,8871.0,2.96
중계1동,2024,26070.0,8871.0,2.94
중계1동,2025,25903.0,8874.0,2.92
중계4동,2016,22048.0,8132.0,2.71
중계4동,2017,21806.0,8248.0,2.64
중계4동,2018,21555.0,8349.0,2.58
중계4동,2019,21046.0,8303.0,2.53
중계4동,2020,20503.0,8335.0,2.46
중계4동,2021,19810.0,8262.0,2.4
중계4동,2022,19418.0,8204.0,2.37
중계4동,2023,19035.0,8163.0,2.33
중계4동,2024,18777.0,8133.0,2.31
중계4동,2025,18514.0,8070.0,2.29
중계2.3동,2016,38987.0,15347.0,2.54
중계2.3동,2017,38242.0,15272.0,2.5
중계2.3동,2018,37258.0,15214.0,2.45
중계2.3동,2019,36234.0,15118.0,2.4
중계2.3동,2020,35099.0,15159.0,2.32
중계2.3동,2021,33926.0,15088.0,2.25
중계2.3동,2022,33215.0,15011.0,2.21
중계2.3동,2023,32367.0,14892.0,2.17
중계2.3동,2024,31589.0,14730.0,2.14
중계2.3동,2025,31337.0,14860.0,2.11
상계1동,2016,41708.0,15383.0,2.71
상계1동,2017,41017.0,15326.0,2.68
상계1동,2018,40363.0,15297.0,2.64
상계1동,2019,39480.0,15205.0,2.6
상계1동,2020,38574.0,15295.0,2.52
상계1동,2021,37836.0,15405.0,2.46
상계1동,2022,37502.0,15528.0,2.42
상계1동,2023,36640.0,15400.0,2.38
상계1동,2024,36208.0,15403.0,2.35
상계1동,2025,35827.0,15428.0,2.32
상계2동,2016,21728.0,8405.0,2.59
상계2동,2017,21492.0,8508.0,2.53
상계2동,2018,21179.0,8543.0,2.48
상계2동,2019,20771.0,8561.0,2.43
상계2동,2020,20273.0,8585.0,2.36
상계2동,2021,19820.0,8531.0,2.32
상계2동,2022,19368.0,8491.0,2.28
상계2동,2023,18944.0,8429.0,2.25
상계2동,2024,18707.0,8401.0,2.23
상계2동,2025,18459.0,8437.0,2.19
상계3.4동,2016,29398.0,12557.0,2.34
상계3.4동,2017,27023.0,11583.0,2.33
상계3.4동,2018,25899.0,11237.0,2.3
상계3.4동,2019,25126.0,11060.0,2.27
상계3.4동,2020,26544.0,11788.0,2.25
상계3.4동,2021,25848.0,11754.0,2.2
상계3.4동,2022,25073.0,11565.0,2.17
상계3.4동,2023,27332.0,12298.0,2.22
상계3.4동,2024,26999.0,12323.0,2.19
상계3.4동,2025,26476.0,12233.0,2.16
상계5동,2016,27222.0,11053.0,2.46
상계5동,2017,26531.0,10944.0,2.42
상계5동,2018,25685.0,10760.0,2.39
상계5동,2019,24944.0,10612.0,2.35
상계5동,2020,24283.0,10717.0,2.27
상계5동,2021,23724.0,10774.0,2.2
상계5동,2022,23461.0,10855.0,2.16
상계5동,2023,22872.0,10816.0,2.11
상계5동,2024,22424.0,10799.0,2.08
상계5동,2025,22015.0,10732.0,2.05
상계6.7동,2016,36069.0,13857.0,2.6
상계6.7동,2017,35556.0,13765.0,2.58
상계6.7동,2018,34950.0,13843.0,2.52
상계6.7동,2019,34140.0,13731.0,2.49
상계6.7동,2020,33148.0,13689.0,2.42
상계6.7동,2021,32337.0,13691.0,2.36
상계6.7동,2022,31771.0,13697.0,2.32
상계6.7동,2023,31260.0,13800.0,2.27
상계6.7동,2024,30869.0,13812.0,2.23
상계6.7동,2025,30174.0,13647.0,2.21
상계8동,2016,25442.0,9272.0,2.74
상계8동,2017,24956.0,9221.0,2.71
상계8동,2018,24236.0,9184.0,2.64
상계8동,2019,23738.0,9151.0,2.59
상계8동,2020,22756.0,9065.0,2.51
상계8동,2021,22417.0,9136.0,2.45
상계8동,2022,22208.0,9107.0,2.44
상계8동,2023,21762.0,9077.0,2.4
상계8동,2024,21458.0,9062.0,2.37
상계8동,2025,21174.0,9031.0,2.34
상계9동,2016,23048.0,8525.0,2.7
상계9동,2017,22612.0,8456.0,2.67
상계9동,2018,22102.0,8377.0,2.64
상계9동,2019,21663.0,8330.0,2.6
상계9동,2020,20986.0,8322.0,2.52
상계9동,2021,20337.0,8311.0,2.45
상계9동,2022,19924.0,8303.0,2.4
상계9동,2023,19614.0,8318.0,2.36
상계9동,2024,19172.0,8309.0,2.31
상계9동,2025,18908.0,8243.0,2.29
상계10동,2016,18898.0,7341.0,2.57
상계10동,2017,17189.0,6586.0,2.61
상계10동,2018,16794.0,6556.0,2.56
상계10동,2019,16386.0,6489.0,2.53
상계10동,2020,17413.0,7026.0,2.48
상계10동,2021,18548.0,7569.0,2.45
상계10동,2022,18289.0,7565.0,2.42
상계10동,2023,18077.0,7581.0,2.38
상계10동,2024,17805.0,7550.0,2.36
상계10동,2025,17646.0,7521.0,2.35
